iter	RMSE
0	6.958697765
1	6.710217514
2	6.480076588
3	6.257928056
4	6.037165481
5	5.837907088
6	5.639683293
7	5.454135566
8	5.279423513
9	5.115217131
10	4.952336642
11	4.791546624
12	4.657517888
13	4.511874986
14	4.376841216
15	4.247376049
16	4.118551042
17	3.999526075
18	3.88104961
19	3.763810914
20	3.654300045
21	3.54832742
22	3.447169552
23	3.351190752
24	3.255065715
25	3.163219358
26	3.075935592
27	2.991927407
28	2.912268392
29	2.836010453
30	2.765286082
31	2.692408798
32	2.623559668
33	2.556137425
34	2.490089387
35	2.427910389
36	2.367044867
37	2.306743655
38	2.251825675
39	2.197754598
40	2.143143753
41	2.09122245
42	2.043518628
43	1.993719666
44	1.946780469
45	1.900139938
46	1.855194846
47	1.812782467
48	1.772433831
49	1.731965582
50	1.694011963
51	1.658702518
52	1.622203569
53	1.587196874
54	1.550701399
55	1.517059747
56	1.482068561
57	1.450698055
58	1.422129385
59	1.393026191
60	1.363577726
61	1.333801248
62	1.304612594
63	1.276334397
64	1.250885793
65	1.226298113
66	1.202886355
67	1.176523713
68	1.154712859
69	1.130611006
70	1.10999197
71	1.088120259
72	1.066608155
73	1.046074648
74	1.026880984
75	1.006933461
76	0.9869550381
77	0.9672264752
78	0.9476885383
79	0.9297925876
80	0.9114070051
81	0.894704354
82	0.8780711109
83	0.8621962794
84	0.8460953627
85	0.8310848034
86	0.816556257
87	0.8025398282
88	0.7886597528
89	0.7740993776
90	0.761436422
91	0.7484120981
92	0.7360574103
93	0.7235051524
94	0.7110562067
95	0.6996932611
96	0.688020623
97	0.6775568143
98	0.666601619
99	0.6562722983
100	0.6454623732
101	0.6352037651
102	0.6257941407
103	0.6165464032
104	0.607001446
105	0.5977182762
106	0.5890600221
107	0.5803691334
108	0.5720460061
109	0.5637637981
110	0.5557561196
111	0.5477423878
112	0.5398793564
113	0.5321311637
114	0.525631253
115	0.5185058121
116	0.5115604894
117	0.5048059609
118	0.4980503989
119	0.4914907037
120	0.4847884763
121	0.4790748701
122	0.4728458799
123	0.4664597443
124	0.4608593862
125	0.4552654116
126	0.4499342307
127	0.4444729886
128	0.4390165576
129	0.4343167685
130	0.4294243949
131	0.4246150449
132	0.4197580561
133	0.4150200906
134	0.4108720521
135	0.40653549
136	0.4022542272
137	0.3980439153
138	0.3940214344
139	0.3901028391
140	0.3861797164
141	0.3825828252
142	0.3790516769
143	0.3755512811
144	0.3719077906
145	0.3686698416
146	0.3657785806
147	0.3628558554
148	0.3598664749
149	0.3568082621
150	0.3539093975
151	0.3511717967
152	0.3480802287
153	0.3453025069
154	0.3426866297
155	0.340029193
156	0.3375730253
157	0.3350068578
158	0.3326631833
159	0.3303158969
160	0.3281374927
161	0.3259529547
162	0.323815031
163	0.3217425301
164	0.319728532
165	0.3178345736
166	0.3159977641
167	0.3139262603
168	0.3120247963
169	0.3102374721
170	0.3085730504
171	0.306878862
172	0.3050862591
173	0.3033044199
174	0.3016649991
175	0.2998895866
176	0.2983151201
177	0.2968870694
178	0.2955043052
179	0.2941130464
180	0.2927745362
181	0.2911027003
182	0.2898511556
183	0.2884403155
184	0.2872074979
185	0.2860390185
186	0.284850427
187	0.2836936365
188	0.2825315854
189	0.281487758
190	0.2804391095
191	0.2793973884
192	0.2783707676
193	0.2774278193
194	0.2762910889
195	0.2753924419
196	0.2744406012
197	0.2734918304
198	0.2725795183
199	0.2717431986
200	0.2709714154
201	0.2701328616
202	0.2692311711
203	0.268412727
204	0.2674579624
205	0.2660757138
206	0.265390754
207	0.2647400713
208	0.2639881082
209	0.2633579537
210	0.2627202385
211	0.2621097018
212	0.2610991372
213	0.2605065419
214	0.2598550449
215	0.2592584642
216	0.2583214448
217	0.2577982564
218	0.2571700588
219	0.2563408198
220	0.2557359548
221	0.2552702625
222	0.2545183075
223	0.2538101401
224	0.2531445749
225	0.252368851
226	0.2519074594
227	0.2512737583
228	0.2508663582
229	0.2503463294
230	0.2496781168
231	0.2491033052
232	0.248389022
233	0.2478296121
234	0.2472058164
235	0.2466126622
236	0.2460790499
237	0.2456725761
238	0.2453093776
239	0.2446551608
240	0.2437990926
241	0.2429499682
242	0.2425542306
243	0.242249673
244	0.2418284795
245	0.241517332
246	0.2408049038
247	0.240210439
248	0.239559896
249	0.2389352052
250	0.2386299692
251	0.238164868
252	0.2376882012
253	0.2371837231
254	0.2367863649
255	0.2363333337
256	0.2360858665
257	0.2357434225
258	0.2351316175
259	0.2345046969
260	0.2340555671
261	0.233745778
262	0.2333926463
263	0.2327125787
264	0.2324873121
265	0.2321203821
266	0.2317368739
267	0.2315028173
268	0.2312680415
269	0.2309736918
270	0.2304894407
271	0.2298172646
272	0.2295974482
273	0.2291402549
274	0.2288488715
275	0.2285062015
276	0.2280493025
277	0.2276809841
278	0.2274224445
279	0.2270530476
280	0.2267774755
281	0.2262231572
282	0.2258199369
283	0.2254415487
284	0.2250023165
285	0.2247170605
286	0.2243667053
287	0.2240460649
288	0.2235487899
289	0.2233682023
290	0.2231777439
291	0.2229452194
292	0.2225120969
293	0.2219347714
294	0.2214959746
295	0.2212218148
296	0.2210265539
297	0.2206453114
298	0.2203848891
299	0.2200365732
300	0.219879767
301	0.219665098
302	0.2190929372
303	0.2188875106
304	0.2185111432
305	0.2181281774
306	0.2179701918
307	0.2176337983
308	0.2172079495
309	0.216706219
310	0.2162286003
311	0.2159609763
312	0.2157047254
313	0.2151683516
314	0.2149007658
315	0.2145378417
316	0.2143692884
317	0.2140738339
318	0.2135617576
319	0.2132296908
320	0.2127595206
321	0.2122337449
322	0.2119107851
323	0.2116930936
324	0.2114494701
325	0.2110153942
326	0.2105846794
327	0.2102819132
328	0.2099886022
329	0.2096156395
330	0.2094111369
331	0.2090951156
332	0.2086207365
333	0.208359951
334	0.2081498217
335	0.2077521271
336	0.2075574174
337	0.2073015099
338	0.2071825349
339	0.2067810087
340	0.2064063095
341	0.2062211666
342	0.2056617554
343	0.2054297476
344	0.205110623
345	0.2046883286
346	0.2043676393
347	0.2041872226
348	0.2038297412
349	0.2035741079
350	0.2031864249
351	0.2029478787
352	0.2025950021
353	0.2023261479
354	0.2020264773
355	0.2018228987
356	0.2015185158
357	0.2011953846
358	0.2009203126
359	0.2007503456
360	0.2004965673
361	0.2002923873
362	0.2001530208
363	0.1999180305
364	0.19943637
365	0.1991597595
366	0.198962672
367	0.1987250112
368	0.1983301635
369	0.1981874691
370	0.1977737235
371	0.1976613012
372	0.1973630231
373	0.1972328777
374	0.1969530611
375	0.1965779078
376	0.1964045754
377	0.1963297421
378	0.1962373771
379	0.1960833916
380	0.1960055584
381	0.1956768318
382	0.1953195303
383	0.1951445081
384	0.1948694794
385	0.1945782369
386	0.1944973676
387	0.1942660609
388	0.193945497
389	0.1937729066
390	0.1935786155
391	0.193292753
392	0.1930026791
393	0.1927922179
394	0.1925916008
395	0.1923690923
396	0.1920870325
397	0.1917732135
398	0.19135537
399	0.1910608094
400	0.1908614746
401	0.1906763026
402	0.1904426988
403	0.1901636101
404	0.1899573541
405	0.1898615506
406	0.1895992056
407	0.1895943579
408	0.1892522984
409	0.1890700642
410	0.1889527729
411	0.1889175401
412	0.1886741184
413	0.1883312529
414	0.1881008761
415	0.1880975585
416	0.1878804134
417	0.1876603121
418	0.1874581109
419	0.1871764112
420	0.1870421553
421	0.1867802083
422	0.186701856
423	0.1866936366
424	0.1864981591
425	0.186371344
426	0.1860685284
427	0.1857954627
428	0.1856590036
429	0.1856457706
430	0.1854424
431	0.185284519
432	0.1850469155
433	0.184828732
434	0.1847081691
435	0.1844398068
436	0.1842751838
437	0.1841922649
438	0.1840166849
439	0.1838457016
440	0.1837547709
441	0.1834444634
442	0.1831400554
443	0.1828826577
444	0.1826453507
445	0.1823337705
446	0.1821651431
447	0.1819298193
448	0.1817144639
449	0.1815537753
450	0.1813369718
451	0.181156834
452	0.1809008584
453	0.1806780517
454	0.1805265556
455	0.1803412208
456	0.1800148589
457	0.1798468384
458	0.1797032978
459	0.1795771687
460	0.1794219505
461	0.1793948643
462	0.1791241643
463	0.178910447
464	0.1787989169
465	0.1784360106
466	0.1781426328
467	0.1779091873
468	0.1777733651
469	0.1774544881
470	0.1773779333
471	0.1771227144
472	0.176972671
473	0.1767145039
474	0.1767080696
475	0.1766371848
476	0.1764890588
