iter	Passed	Remaining
0	54	54737
1	102	51114
2	150	49881
3	197	49231
4	240	47818
5	290	48140
6	333	47379
7	374	46379
8	425	46841
9	476	47209
10	530	47713
11	630	51944
12	672	51070
13	717	50567
14	764	50221
15	813	50023
16	856	49517
17	899	49056
18	963	49766
19	1033	50626
20	1088	50759
21	1149	51121
22	1206	51257
23	1269	51639
24	1331	51940
25	1388	52027
26	1440	51899
27	1493	51858
28	1543	51667
29	1594	51551
30	1648	51540
31	1718	51994
32	1768	51836
33	1820	51737
34	1867	51500
35	1921	51445
36	1985	51676
37	2037	51574
38	2086	51413
39	2139	51337
40	2190	51228
41	2250	51341
42	2325	51764
43	2375	51616
44	2421	51383
45	2471	51252
46	2517	51054
47	2579	51151
48	2661	51662
49	2760	52454
50	2819	52457
51	2876	52441
52	2924	52260
53	2985	52308
54	3056	52524
55	3145	53019
56	3215	53204
57	3278	53251
58	3335	53192
59	3396	53206
60	3451	53133
61	3501	52971
62	3560	52949
63	3618	52920
64	3666	52743
65	3722	52680
66	3774	52565
67	3830	52502
68	3882	52385
69	3932	52240
70	3980	52086
71	4030	51951
72	4074	51741
73	4127	51647
74	4180	51563
75	4224	51366
76	4268	51172
77	4310	50953
78	4355	50773
79	4400	50602
80	4445	50433
81	4487	50234
82	4538	50147
83	4591	50072
84	4642	49975
85	4697	49923
86	4753	49884
87	4840	50163
88	4947	50639
89	5039	50950
90	5110	51046
91	5193	51253
92	5270	51404
93	5380	51860
94	5477	52176
95	5567	52431
96	5688	52956
97	5772	53129
98	5846	53206
99	5915	53236
100	5997	53382
101	6067	53417
102	6128	53373
103	6194	53370
104	6263	53384
105	6338	53461
106	6407	53478
107	6479	53513
108	6537	53437
109	6594	53352
110	6651	53271
111	6721	53293
112	6780	53224
113	6836	53136
114	6894	53058
115	6965	53081
116	7029	53054
117	7089	52991
118	7153	52962
119	7230	53022
120	7289	52953
121	7361	52979
122	7414	52864
123	7505	53025
124	7574	53019
125	7625	52895
126	7690	52861
127	7790	53071
128	7902	53359
129	8006	53581
130	8075	53569
131	8132	53479
132	8185	53360
133	8236	53232
134	8315	53281
135	8389	53300
136	8466	53331
137	8539	53340
138	8609	53331
139	8678	53311
140	8760	53369
141	8829	53353
142	8909	53395
143	8988	53434
144	9052	53376
145	9101	53238
146	9157	53136
147	9203	52980
148	9261	52894
149	9323	52834
150	9371	52688
151	9412	52514
152	9462	52384
153	9509	52241
154	9570	52177
155	9616	52029
156	9692	52045
157	9764	52033
158	9815	51919
159	9887	51908
160	9932	51761
161	9981	51631
162	10034	51525
163	10083	51400
164	10140	51316
165	10192	51207
166	10235	51052
167	10278	50902
168	10323	50760
169	10367	50618
170	10410	50471
171	10454	50327
172	10512	50255
173	10553	50100
174	10600	49972
175	10645	49840
176	10695	49729
177	10756	49673
178	10810	49581
179	10863	49491
180	10921	49418
181	10984	49370
182	11072	49432
183	11143	49417
184	11199	49337
185	11256	49262
186	11314	49189
187	11373	49124
188	11428	49038
189	11480	48941
190	11531	48841
191	11578	48725
192	11620	48591
193	11680	48527
194	11828	48831
195	11923	48910
196	11997	48902
197	12053	48824
198	12106	48728
199	12168	48672
200	12218	48569
201	12270	48472
202	12312	48341
203	12369	48266
204	12431	48209
205	12519	48255
206	12610	48309
207	12662	48215
208	12710	48104
209	12778	48072
210	12844	48031
211	12914	48002
212	12962	47894
213	13013	47796
214	13063	47696
215	13109	47581
216	13154	47466
217	13195	47334
218	13241	47222
219	13284	47100
220	13333	46998
221	13386	46914
222	13430	46794
223	13482	46707
224	13536	46624
225	13584	46523
226	13629	46410
227	13686	46341
228	13739	46258
229	13794	46182
230	13842	46082
231	13898	46007
232	13957	45945
233	14019	45894
234	14084	45850
235	14129	45742
