iter	Passed	Remaining
0	237	23540
1	310	15195
2	413	13367
3	480	11540
4	553	10510
5	624	9791
6	696	9248
7	777	8941
8	832	8419
9	913	8222
10	971	7859
11	1042	7645
12	1110	7432
13	1182	7265
14	1277	7236
15	1394	7323
16	1482	7236
17	1555	7086
18	1637	6979
19	1686	6746
20	1739	6545
21	1787	6337
22	1842	6169
23	1889	5982
24	1939	5818
25	2073	5901
26	2278	6160
27	2333	5999
28	2398	5872
29	2456	5731
30	2513	5593
31	2575	5473
32	2641	5363
33	2709	5260
34	2769	5142
35	2832	5035
36	2891	4923
37	2952	4816
38	3005	4701
39	3058	4587
40	3123	4494
41	3387	4677
42	3442	4562
43	3562	4533
44	3729	4558
45	3837	4505
46	3930	4432
47	4098	4440
48	4241	4414
49	4257	4257
50	4338	4168
51	4413	4073
52	4488	3980
53	4549	3875
54	4603	3766
55	4637	3644
56	4682	3532
57	4768	3452
58	4858	3376
59	4925	3283
60	5002	3198
61	5059	3100
62	5141	3019
63	5216	2934
64	5331	2870
65	5406	2785
66	5438	2678
67	5500	2588
68	5571	2503
69	5638	2416
70	5717	2335
71	5792	2252
72	5867	2170
73	5923	2081
74	5990	1996
75	6084	1921
76	6159	1839
77	6200	1748
78	6257	1663
79	6326	1581
80	6388	1498
81	6460	1418
82	6532	1337
83	6604	1258
84	6675	1178
85	6692	1089
86	6719	1004
87	6812	928
88	6891	851
89	6918	768
90	6974	689
91	7028	611
92	7052	530
93	7093	452
94	7158	376
95	7209	300
96	7262	224
97	7329	149
98	7407	74
99	7497	0
